Participant,Condition,Gender,IM01_01,IM01_02,IM01_03,IM01_04,IM01_05,IM01_06,IM01_07,IM01_08,IM01_09,IM01_10,IM01_11,IM01_12,IM01_13,IM01_14,IM01_15,IM01_16,IM01_17,IM01_18,IM01_19,IM01_20,IM01_21,IM01_22
wi1Kv,1,1,3,2,5,6,6,5,5,5,3,5,5,6,1,4,3,4,4,3,6,1,5,4
9QQjf,2,1,3,4,4,3,4,6,3,2,6,3,3,3,6,5,2,2,4,6,3,2,4,3
qcp03,2,1,2,3,6,3,5,5,2,4,5,5,4,2,1,3,3,2,5,3,4,2,3,5
oZol7,1,1,5,5,5,4,6,7,4,5,6,6,4,4,3,6,4,4,6,3,6,5,6,5
eV1RY,2,1,2,5,6,2,3,6,2,3,4,2,6,2,3,3,3,2,3,5,3,2,5,3
JymeM,2,1,2,1,7,3,4,5,2,3,4,2,7,3,1,4,4,3,3,3,7,1,7,5
hxrts,1,1,1,3,3,1,1,5,1,1,3,1,6,4,1,1,5,2,1,2,3,1,5,3
9oJ9n,2,1,3,5,6,4,4,4,3,3,4,2,3,4,1,2,2,4,4,1,3,1,6,6
7q22V,1,1,2,3,1,4,5,2,5,5,2,3,1,5,1,6,2,4,3,1,1,4,1,5
KKZOt,1,2,3,4,6,5,4,4,5,4,5,4,6,3,2,4,5,4,3,1,7,2,7,5
czCN9,1,1,3,2,5,3,5,6,4,7,5,6,5,5,1,6,3,2,5,1,5,5,5,6
hCwSO,2,1,1,3,5,1,2,6,2,1,7,1,5,5,4,2,2,2,1,5,3,1,3,5
88ryJ,2,1,1,2,4,3,3,5,2,1,6,1,2,5,1,2,4,4,2,6,2,1,2,4
ONkJS,1,1,5,3,5,3,4,2,2,5,4,5,6,3,1,5,3,3,5,3,5,5,6,5
NV5UJ,1,1,2,2,5,4,5,2,4,5,2,5,7,6,1,3,5,4,5,1,6,4,3,5
WJMPc,2,1,2,2,7,3,5,3,2,5,3,5,6,6,1,3,3,3,5,1,6,5,6,5
jZXG3,2,1,2,4,4,4,5,5,4,2,6,2,2,3,5,4,5,4,5,5,3,2,2,5
OH6JP,1,2,7,1,7,4,7,5,5,6,6,4,1,7,1,2,5,5,1,7,3,7,4,2
uuaCd,1,1,4,2,7,4,3,4,5,4,4,4,7,7,1,4,7,4,4,3,7,4,7,7
LRIub,2,1,4,5,6,4,3,5,3,2,2,2,7,6,2,3,4,2,2,1,6,3,7,4
mHYXQ,1,1,6,1,7,2,7,6,1,5,1,4,5,4,2,5,7,1,6,1,6,1,6,7
SsLgj,2,1,2,2,6,2,3,4,2,5,3,4,6,2,3,4,2,3,2,2,5,3,5,4
rYB6s,1,1,1,6,2,1,3,4,2,2,5,2,2,2,2,5,2,1,2,5,3,2,2,2
Cnjuu,2,1,3,2,6,6,3,1,6,4,1,3,5,7,2,3,4,6,3,3,5,2,5,7
0S39A,1,1,5,6,3,2,7,5,2,6,5,6,5,5,1,7,2,2,7,3,5,6,7,3
EDXz0,2,1,2,1,6,3,5,3,3,3,1,4,5,5,1,4,5,3,4,2,4,2,6,4
8fOJT,1,1,4,5,5,3,4,5,4,4,5,3,5,3,3,3,3,3,3,5,4,4,4,4
cfZcv,2,1,2,4,6,4,4,5,4,2,6,2,5,4,5,3,1,3,2,5,4,1,5,5
