Participant,Prime,Probe,Nsame,Ntotal
LUH-1992-M,Sphere,Sphere,22,119
LUH-1992-M,Sphere,Quadro,23,118
LUH-1992-M,Sphere,Dual,15,120
LUH-1992-M,Sphere,Single,31,115
LUH-1992-M,Quadro,Sphere,25,120
LUH-1992-M,Quadro,Quadro,26,120
LUH-1992-M,Quadro,Dual,17,120
LUH-1992-M,Quadro,Single,40,119
LUH-1992-M,Dual,Sphere,30,120
LUH-1992-M,Dual,Quadro,35,116
LUH-1992-M,Dual,Dual,32,120
LUH-1992-M,Dual,Single,58,120
LUH-1992-M,Single,Sphere,41,120
LUH-1992-M,Single,Quadro,36,120
LUH-1992-M,Single,Dual,58,120
LUH-1992-M,Single,Single,46,118
HER-2001-W,Sphere,Sphere,10,119
HER-2001-W,Sphere,Quadro,13,118
HER-2001-W,Sphere,Dual,12,120
HER-2001-W,Sphere,Single,45,115
HER-2001-W,Quadro,Sphere,13,120
HER-2001-W,Quadro,Quadro,13,120
HER-2001-W,Quadro,Dual,25,120
HER-2001-W,Quadro,Single,50,119
HER-2001-W,Dual,Sphere,7,120
HER-2001-W,Dual,Quadro,9,116
HER-2001-W,Dual,Dual,27,120
HER-2001-W,Dual,Single,59,120
HER-2001-W,Single,Sphere,25,120
HER-2001-W,Single,Quadro,31,120
HER-2001-W,Single,Dual,39,120
HER-2001-W,Single,Single,60,118
GDW-1998-W,Sphere,Sphere,10,79
GDW-1998-W,Sphere,Quadro,8,79
GDW-1998-W,Sphere,Dual,8,80
GDW-1998-W,Sphere,Single,25,77
GDW-1998-W,Quadro,Sphere,11,80
GDW-1998-W,Quadro,Quadro,10,80
GDW-1998-W,Quadro,Dual,6,80
GDW-1998-W,Quadro,Single,25,79
GDW-1998-W,Dual,Sphere,2,80
GDW-1998-W,Dual,Quadro,5,78
GDW-1998-W,Dual,Dual,11,80
GDW-1998-W,Dual,Single,22,80
GDW-1998-W,Single,Sphere,16,80
GDW-1998-W,Single,Quadro,8,80
GDW-1998-W,Single,Dual,11,80
GDW-1998-W,Single,Single,21,78
KOC-2002-M,Sphere,Sphere,7,79
KOC-2002-M,Sphere,Quadro,10,79
KOC-2002-M,Sphere,Dual,22,80
KOC-2002-M,Sphere,Single,24,77
KOC-2002-M,Quadro,Sphere,19,80
KOC-2002-M,Quadro,Quadro,10,80
KOC-2002-M,Quadro,Dual,38,80
KOC-2002-M,Quadro,Single,27,79
KOC-2002-M,Dual,Sphere,12,80
KOC-2002-M,Dual,Quadro,27,78
KOC-2002-M,Dual,Dual,61,80
KOC-2002-M,Dual,Single,28,80
KOC-2002-M,Single,Sphere,37,80
KOC-2002-M,Single,Quadro,35,80
KOC-2002-M,Single,Dual,42,80
KOC-2002-M,Single,Single,15,78
GRT-1996-M,Sphere,Sphere,3,24
GRT-1996-M,Sphere,Quadro,3,24
GRT-1996-M,Sphere,Dual,4,24
GRT-1996-M,Sphere,Single,7,22
GRT-1996-M,Quadro,Sphere,1,24
GRT-1996-M,Quadro,Quadro,1,24
GRT-1996-M,Quadro,Dual,2,24
GRT-1996-M,Quadro,Single,9,24
GRT-1996-M,Dual,Sphere,3,24
GRT-1996-M,Dual,Quadro,7,23
GRT-1996-M,Dual,Dual,4,24
GRT-1996-M,Dual,Single,9,24
GRT-1996-M,Single,Sphere,11,24
GRT-1996-M,Single,Quadro,4,24
GRT-1996-M,Single,Dual,11,24
GRT-1996-M,Single,Single,15,24
JKU-1996-W,Sphere,Sphere,31,79
JKU-1996-W,Sphere,Quadro,36,79
JKU-1996-W,Sphere,Dual,32,80
JKU-1996-W,Sphere,Single,38,77
JKU-1996-W,Quadro,Sphere,36,80
JKU-1996-W,Quadro,Quadro,26,80
JKU-1996-W,Quadro,Dual,35,80
JKU-1996-W,Quadro,Single,38,79
JKU-1996-W,Dual,Sphere,41,80
JKU-1996-W,Dual,Quadro,44,78
JKU-1996-W,Dual,Dual,52,80
JKU-1996-W,Dual,Single,55,80
JKU-1996-W,Single,Sphere,47,80
JKU-1996-W,Single,Quadro,53,80
JKU-1996-W,Single,Dual,55,80
JKU-1996-W,Single,Single,55,78
MDS-2000-W,Sphere,Sphere,14,79
MDS-2000-W,Sphere,Quadro,16,79
MDS-2000-W,Sphere,Dual,30,80
MDS-2000-W,Sphere,Single,35,77
MDS-2000-W,Quadro,Sphere,15,80
MDS-2000-W,Quadro,Quadro,22,80
MDS-2000-W,Quadro,Dual,27,80
MDS-2000-W,Quadro,Single,36,79
MDS-2000-W,Dual,Sphere,20,80
MDS-2000-W,Dual,Quadro,16,78
MDS-2000-W,Dual,Dual,29,80
MDS-2000-W,Dual,Single,44,80
MDS-2000-W,Single,Sphere,27,80
MDS-2000-W,Single,Quadro,28,80
MDS-2000-W,Single,Dual,45,80
MDS-2000-W,Single,Single,44,78
