Session;Participant;Block;Condition;Display;OnsetDelay;Percept;Time;Duration;iPercept;SpeedUp_first
2018-12-13-08-44-26;ABH1998w; 1;Passive;KDE -45;1,271371;left; 8,95693249;5,887905e+00; 1;TRUE
2018-12-13-08-44-26;ABH1998w; 1;Passive;KDE -45;1,271371;right;14,84483710;1,434432e+01; 2;TRUE
2018-12-13-08-44-26;ABH1998w; 1;Passive;KDE -45;1,271371;left;29,20582630;1,756353e+01; 4;TRUE
2018-12-13-08-44-26;ABH1998w; 1;Passive;KDE -45;1,271371;right;46,76935933;7,422265e+00; 5;TRUE
2018-12-13-08-44-26;ABH1998w; 1;Passive;KDE -45;1,271371;left;54,19162471;3,068957e+00; 6;TRUE
2018-12-13-08-44-26;ABH1998w; 2;Passive;KDE 45;1,474698;left; 1,30102663;2,702071e+01; 1;TRUE
2018-12-13-08-44-26;ABH1998w; 2;Passive;KDE 45;1,474698;right;28,32173814;2,535300e+00; 2;TRUE
2018-12-13-08-44-26;ABH1998w; 2;Passive;KDE 45;1,474698;left;30,85710527;9,957647e+00; 4;TRUE
2018-12-13-08-44-26;ABH1998w; 2;Passive;KDE 45;1,474698;right;40,81475241;2,802106e+00; 5;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;right; 1,01745546;2,927247e+01; 1;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;left;30,28992218;4,570124e+00; 2;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;right;34,86004629;3,452633e+00; 3;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;left;38,31275151;2,885486e+00; 5;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;right;41,19823788;3,869646e+00; 6;TRUE
2018-12-13-08-44-26;ABH1998w; 4;Passive;KDE -45;1,079058;left;45,06788375;4,403362e+00; 7;TRUE
