Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
AKM1995M,2019-06-12-14-07-17,0,0,0.574695193848118,left,stripes-8,stripes-4,right,left,5.0554812803043205,1.0238089240392583
AKM1995M,2019-06-12-14-07-17,0,1,0.5741707069879539,left,stripes-4,heavy poles sphere,left,right,2.9692460030532857,0.8239294023323964
AKM1995M,2019-06-12-14-07-17,0,2,0.5082200495914466,left,stripes-2,stripes-2,right,left,3.162330971971187,0.6718403292534276
AKM1995M,2019-06-12-14-07-17,0,3,0.6065058435661185,right,stripes-8,stripes-2,right,right,1.021162693277347,0.5919555082432453
AKM1995M,2019-06-12-14-07-17,0,4,0.535950413651533,left,stripes-2,heavy poles sphere,right,right,0.9426956847064503,0.6157634993064676
AKM1995M,2019-06-12-14-07-17,0,5,0.6435366812036534,right,stripes-4,stripes-4,right,right,1.1646055673163573,0.6398230828822307
AKM1995M,2019-06-12-14-07-17,0,6,0.5262001400833596,left,stripes-4,stripes-2,right,right,1.0858132611338078,0.5999688386036723
AKM1995M,2019-06-12-14-07-17,0,7,0.5098838295530023,right,stripes-2,stripes-8,right,right,1.1485098663761164,0.6798468177903487
AKM1995M,2019-06-12-14-07-17,0,8,0.5887052169181507,right,stripes-8,stripes-8,right,right,1.7143778123390803,0.6957814248844443
AKM1995M,2019-06-12-14-07-17,0,9,0.5955727113385639,right,heavy poles sphere,stripes-2,right,right,0.6650983341091887,0.6239715106466974
AKM1995M,2019-06-12-14-07-17,0,10,0.6253520777746455,left,stripes-8,heavy poles sphere,right,right,1.0527930656253375,0.6718182488225466
AKM1995M,2019-06-12-14-07-17,0,11,0.6996483790523158,right,heavy poles sphere,stripes-8,right,right,0.939290633512428,0.6559299795335392
AKM1995M,2019-06-12-14-07-17,0,12,0.567286960467164,right,stripes-2,stripes-4,right,right,0.5953714441566262,0.5678809970527254
AKM1995M,2019-06-12-14-07-17,0,13,0.5891687989170414,right,heavy poles sphere,heavy poles sphere,right,right,0.8624743703735476,0.6240004329010844
AKM1995M,2019-06-12-14-07-17,0,14,0.5488826742908958,left,stripes-4,stripes-8,right,right,0.45998264042782466,0.5758535874638255
AKM1995M,2019-06-12-14-07-17,0,15,0.5158047441325515,right,heavy poles sphere,stripes-4,right,right,0.5419762980573068,0.5279263023644489
AKM1995M,2019-06-12-14-07-17,0,16,0.6152265055636336,left,stripes-2,stripes-4,right,right,0.569022337620936,0.5519358162314347
AKM1995M,2019-06-12-14-07-17,0,17,0.5418357081817576,left,stripes-2,heavy poles sphere,right,right,0.47890059359042425,0.5758470566315737
AKM1995M,2019-06-12-14-07-17,0,18,0.6739658779777841,right,stripes-2,stripes-2,right,right,1.5280740235548365,0.6636948273016969
AKM1995M,2019-06-12-14-07-17,0,19,0.5702614824343311,right,stripes-8,stripes-4,right,right,0.3675231696802257,0.5198318030970768
AKM1995M,2019-06-12-14-07-17,0,20,0.5978580619861208,left,heavy poles sphere,stripes-4,right,right,0.6521598237545732,0.5838411054892276
AKM1995M,2019-06-12-14-07-17,0,21,0.5716109914176323,right,heavy poles sphere,heavy poles sphere,right,right,0.8613308528611014,0.527693991355136
AKM1995M,2019-06-12-14-07-17,0,22,0.5887026156703941,right,stripes-8,heavy poles sphere,right,right,0.6861730166565394,0.5358180348603128
AKM1995M,2019-06-12-14-07-17,0,23,0.5567182368117074,right,heavy poles sphere,stripes-2,right,right,0.44726306842721897,0.5118511268951806
AKM1995M,2019-06-12-14-07-17,0,24,0.5413011164602706,right,stripes-4,heavy poles sphere,right,right,0.5153444998113628,0.5197055403532431
AKM1995M,2019-06-12-14-07-17,0,25,0.5174024667782697,right,stripes-4,stripes-4,right,right,0.6118310057140661,0.5679052544273873
AKM1995M,2019-06-12-14-07-17,0,26,0.6818109129507608,left,stripes-4,stripes-2,right,right,0.6241011943025114,0.49584810156511594
AKM1995M,2019-06-12-14-07-17,0,27,0.5477996457641958,right,heavy poles sphere,stripes-8,right,right,1.2933295019120123,0.5438201695092175
AKM1995M,2019-06-12-14-07-17,0,28,0.575247330253487,left,stripes-4,stripes-8,right,right,0.6990751409493896,0.5039590834071532
AKM1995M,2019-06-12-14-07-17,0,29,0.5568812751341368,right,stripes-8,stripes-8,right,right,0.707588546414172,0.5357290911538257
AKM1995M,2019-06-12-14-07-17,0,30,0.6560766493274184,right,stripes-8,stripes-2,right,right,0.5739014908022,0.5037389010849438
AKM1995M,2019-06-12-14-07-17,0,31,0.6570033170900551,right,stripes-2,stripes-8,right,right,0.6556115237453923,0.5118461510232919
AKM1995M,2019-06-12-14-07-17,0,32,0.5905698891795729,left,heavy poles sphere,stripes-2,right,right,0.6252879396997741,0.511857657726523
AKM1995M,2019-06-12-14-07-17,0,33,0.6241908152432936,right,stripes-4,stripes-8,right,right,0.6258172480506801,0.5597208784774921
AKM1995M,2019-06-12-14-07-17,0,34,0.6769070271817231,left,stripes-8,stripes-8,right,right,1.1246235053336022,0.4719608075465658
AKM1995M,2019-06-12-14-07-17,0,35,0.6523461555744686,left,stripes-4,stripes-2,right,right,0.8005928751117608,0.45582032376159987
AKM1995M,2019-06-12-14-07-17,0,36,0.6735874771601595,right,heavy poles sphere,heavy poles sphere,right,right,0.5882833149380531,0.5038446383582595
AKM1995M,2019-06-12-14-07-17,0,37,0.6291693285800304,right,stripes-4,stripes-4,right,right,0.6060397130540878,0.5839611483938825
AKM1995M,2019-06-12-14-07-17,0,38,0.5534145073637359,right,stripes-4,heavy poles sphere,right,right,0.5924481195402223,0.5518238591180307
AKM1995M,2019-06-12-14-07-17,0,39,0.5353140828921101,right,heavy poles sphere,stripes-4,right,right,0.557752610233365,0.5118592126864314
