Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
AZN1997w,2019-05-15-11-26-49,0,0,0.6949482351919849,right,stripes-8,stripes-2,right,right,18.340913911312782,0.9438174117976814
AZN1997w,2019-05-15-11-26-49,0,1,0.628049494990072,right,stripes-2,stripes-8,right,right,0.27879071919778653,19.094764170277813
AZN1997w,2019-05-15-11-26-49,0,2,0.6944613385767295,right,stripes-2,stripes-2,right,right,0.6196831719380498,0.2798337924632506
AZN1997w,2019-05-15-11-26-49,0,3,0.5418333535048991,right,heavy poles sphere,heavy poles sphere,right,right,0.4104079679100323,0.31984097020085756
AZN1997w,2019-05-15-11-26-49,0,4,0.5424069974474374,left,stripes-2,heavy poles sphere,left,right,0.5984559778917173,0.3838459859098293
AZN1997w,2019-05-15-11-26-49,0,5,0.6753431633373977,right,stripes-4,stripes-8,right,right,0.44235885079069703,0.3279582198465505
AZN1997w,2019-05-15-11-26-49,0,6,0.6838383689252414,right,stripes-8,stripes-8,right,left,0.2943040238251342,0.47982614201646356
AZN1997w,2019-05-15-11-26-49,0,7,0.6435415485696737,left,heavy poles sphere,stripes-2,right,right,0.5330091948426343,3.711630360212439
AZN1997w,2019-05-15-11-26-49,0,8,0.6913966277575154,left,stripes-8,stripes-4,right,left,0.28274562758269894,0.2958362903664238
AZN1997w,2019-05-15-11-26-49,0,9,0.5702462653367971,right,heavy poles sphere,stripes-8,left,right,0.33297455013234867,0.30381483676865173
AZN1997w,2019-05-15-11-26-49,0,10,0.6418907978942554,left,stripes-4,stripes-2,right,left,0.3757393100540867,0.23183065266948688
AZN1997w,2019-05-15-11-26-49,0,11,0.6056088460609549,left,heavy poles sphere,stripes-4,left,right,0.3746144454134992,0.2959317654676852
AZN1997w,2019-05-15-11-26-49,0,12,0.5150123812304321,right,stripes-2,stripes-4,right,left,0.3421594415549407,0.24782319877067494
AZN1997w,2019-05-15-11-26-49,0,13,0.6931148151665549,left,stripes-4,stripes-4,left,right,0.3130361144676499,0.27170068213399645
AZN1997w,2019-05-15-11-26-49,0,14,0.6624923785511625,left,stripes-8,heavy poles sphere,right,left,0.2783935800925974,0.27181948177258164
AZN1997w,2019-05-15-11-26-49,0,15,0.6696435418358245,left,stripes-4,heavy poles sphere,left,right,0.27805895074379805,0.28782384563783125
AZN1997w,2019-05-15-11-26-49,0,16,0.6003942616118161,right,stripes-2,stripes-4,right,left,0.8860798545038051,0.3998267142451368
AZN1997w,2019-05-15-11-26-49,0,17,0.5358753492342372,left,stripes-8,heavy poles sphere,left,right,0.2918695642165403,0.24796594493273005
AZN1997w,2019-05-15-11-26-49,0,18,0.5767426375206883,left,stripes-2,stripes-8,right,left,0.5340703057499923,0.2719326835222091
AZN1997w,2019-05-15-11-26-49,0,19,0.6945193260294257,right,stripes-4,stripes-2,left,right,0.3841631996037904,0.26366864479405194
AZN1997w,2019-05-15-11-26-49,0,20,0.6466509216653173,left,stripes-4,heavy poles sphere,right,left,0.3082343699170451,0.22384339844120404
AZN1997w,2019-05-15-11-26-49,0,21,0.6355153587713654,right,heavy poles sphere,heavy poles sphere,left,right,0.28654503905818274,0.40770169970528514
AZN1997w,2019-05-15-11-26-49,0,22,0.6183087340629188,right,stripes-2,stripes-2,right,left,0.39246766752785334,0.23183345161396574
AZN1997w,2019-05-15-11-26-49,0,23,0.5883329080132749,right,stripes-2,heavy poles sphere,right,right,0.07938241603642382,3.1836912975841187
AZN1997w,2019-05-15-11-26-49,0,24,0.5138558427164328,right,heavy poles sphere,stripes-8,right,left,0.46135684114869946,0.23181727993596724
AZN1997w,2019-05-15-11-26-49,0,25,0.5917228957543416,left,stripes-8,stripes-8,left,right,0.3281709396178485,0.23180452918950323
AZN1997w,2019-05-15-11-26-49,0,26,0.5785294146413122,right,stripes-8,stripes-4,right,left,0.31305166415859276,0.23982568174506014
AZN1997w,2019-05-15-11-26-49,0,27,0.5895128294197628,left,stripes-8,stripes-2,left,right,0.36207393069435057,0.2716994381589757
AZN1997w,2019-05-15-11-26-49,0,28,0.6084050447691393,left,stripes-4,stripes-4,right,left,0.4067904878183981,0.2637924203345392
