Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
BKF1975w,2019-04-15-14-52-55,0,0,0.6030265817726088,left,stripes-8,heavy poles sphere,right,right,1.0524116277606481,1.4239109003574413
BKF1975w,2019-04-15-14-52-55,0,1,0.6851869856129359,right,stripes-8,stripes-2,right,right,0.35578094668835547,1.135959180804548
BKF1975w,2019-04-15-14-52-55,0,2,0.6424730666468009,right,heavy poles sphere,heavy poles sphere,right,right,0.806533633789968,6.439447608586306
BKF1975w,2019-04-15-14-52-55,0,3,0.6727649571833852,right,heavy poles sphere,stripes-8,right,right,0.268581758743494,1.511636903966064
BKF1975w,2019-04-15-14-52-55,0,4,0.5483032751886181,right,stripes-2,stripes-8,right,right,0.229078980677059,1.1517991034806982
BKF1975w,2019-04-15-14-52-55,0,5,0.6040934306450892,right,stripes-2,heavy poles sphere,right,right,0.3652518110452547,1.0478068110360255
BKF1975w,2019-04-15-14-52-55,0,6,0.6618927295336994,right,stripes-4,stripes-2,right,right,0.36075210866238194,1.367753407975215
BKF1975w,2019-04-15-14-52-55,0,7,0.5493785308481562,right,stripes-2,stripes-4,right,right,0.8439919690154056,3.7917591600307787
BKF1975w,2019-04-15-14-52-55,0,8,0.6099519055434084,left,stripes-8,stripes-4,right,right,0.254144708239437,1.4559266140181535
BKF1975w,2019-04-15-14-52-55,0,9,0.5910693340089183,right,stripes-4,heavy poles sphere,right,right,0.009523732517209282,1.2078057661124149
BKF1975w,2019-04-15-14-52-55,0,10,0.5459248526826268,right,stripes-8,stripes-8,right,right,0.8331440445886074,4.503698594267007
BKF1975w,2019-04-15-14-52-55,0,11,0.6179924672912068,left,stripes-4,stripes-8,right,right,0.17407028230991273,0.9358118341333466
BKF1975w,2019-04-15-14-52-55,0,12,0.6710193724281973,right,stripes-4,stripes-4,right,right,0.6449508108421469,4.311627636488538
BKF1975w,2019-04-15-14-52-55,0,13,0.6248846539518678,right,heavy poles sphere,stripes-4,right,right,0.1623973035993913,0.9997026943478886
