Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
CHE1998M,2019-05-22-16-56-09,0,0,0.6940683521721465,right,stripes-8,stripes-4,right,right,18.360912581726552,0.26364964892923126
CHE1998M,2019-05-22-16-56-09,0,1,0.5842517957926219,left,heavy poles sphere,heavy poles sphere,left,left,1.8020963790748965,0.24782604233496386
CHE1998M,2019-05-22-16-56-09,0,2,0.5376191939622772,right,stripes-8,heavy poles sphere,right,right,0.7692306735389138,0.2399714627723597
CHE1998M,2019-05-22-16-56-09,0,3,0.6624400498031344,right,stripes-2,stripes-2,right,right,1.3082667459505046,0.23193805903929388
CHE1998M,2019-05-22-16-56-09,0,4,0.593370050084814,right,heavy poles sphere,stripes-8,right,right,0.7418603125100844,0.22382130769290143
CHE1998M,2019-05-22-16-56-09,0,5,0.6501503392999165,right,stripes-2,heavy poles sphere,left,left,0.7962492951995728,0.21582957776649891
CHE1998M,2019-05-22-16-56-09,0,6,0.6993589808825671,left,stripes-4,stripes-2,right,right,1.397986719739606,0.22382255168713527
CHE1998M,2019-05-22-16-56-09,0,7,0.5223903493857038,right,stripes-2,stripes-4,right,right,0.6062067848067727,0.20769509950252996
CHE1998M,2019-05-22-16-56-09,0,8,0.6519419673880111,left,heavy poles sphere,stripes-4,right,right,0.6507050803791117,0.1998666438186092
CHE1998M,2019-05-22-16-56-09,0,9,0.5041655381834388,right,stripes-4,heavy poles sphere,right,right,1.4041012623741835,0.22379456181704427
CHE1998M,2019-05-22-16-56-09,0,10,0.6633794542403403,left,stripes-4,stripes-8,right,right,0.6622036300373111,0.19181551316785317
CHE1998M,2019-05-22-16-56-09,0,11,0.5610368258954294,right,stripes-8,stripes-8,right,right,0.7562063649586435,0.19186216295145186
CHE1998M,2019-05-22-16-56-09,0,12,0.5793864385239488,left,stripes-8,stripes-2,right,right,0.8294241333013588,0.22388412940154012
CHE1998M,2019-05-22-16-56-09,0,13,0.6969617711344192,right,heavy poles sphere,stripes-2,right,right,0.8144032139834962,0.223804202772385
CHE1998M,2019-05-22-16-56-09,0,14,0.6512668834360053,right,stripes-2,stripes-8,right,right,1.0168091610222518,0.17586501916207453
CHE1998M,2019-05-22-16-56-09,0,15,0.5287210434236714,right,stripes-4,stripes-4,right,right,0.9858875074678508,0.16793486695019055
CHE1998M,2019-05-22-16-56-09,0,16,0.5068546440763462,left,stripes-2,stripes-8,right,right,0.6616935924034806,0.2079541613005631
CHE1998M,2019-05-22-16-56-09,0,17,0.6953825240195057,right,heavy poles sphere,heavy poles sphere,right,right,0.7357809127123573,0.2077293093436765
CHE1998M,2019-05-22-16-56-09,0,18,0.5708225050391355,right,stripes-2,stripes-4,right,right,0.6976982063780497,0.2157064223379166
CHE1998M,2019-05-22-16-56-09,0,19,0.5622993831265731,left,stripes-8,stripes-4,right,right,0.7808231447613707,0.20785806274648166
CHE1998M,2019-05-22-16-56-09,0,20,0.5304455146460882,right,stripes-8,stripes-8,right,right,0.7021930685262987,0.1837410576252978
CHE1998M,2019-05-22-16-56-09,0,21,0.5977221908679721,left,stripes-4,stripes-4,right,right,0.6253857548354063,0.19994439345794035
CHE1998M,2019-05-22-16-56-09,0,22,0.6238338836914101,left,stripes-4,heavy poles sphere,right,right,0.6547309567031334,0.19180431721974855
CHE1998M,2019-05-22-16-56-09,0,23,0.5770143444530478,left,stripes-2,heavy poles sphere,right,right,0.741381374731759,0.19181551316785317
CHE1998M,2019-05-22-16-56-09,0,24,0.6419682708239332,right,stripes-4,stripes-8,right,right,0.6445973797127635,0.17581961337282337
CHE1998M,2019-05-22-16-56-09,0,25,0.6127660012271382,right,heavy poles sphere,stripes-2,right,right,0.7546463961953123,0.19980537710284807
CHE1998M,2019-05-22-16-56-09,0,26,0.5308674145843231,left,stripes-2,stripes-2,right,right,0.9252247508823075,0.24793551382708756
CHE1998M,2019-05-22-16-56-09,0,27,0.6053903710759189,right,stripes-4,stripes-2,right,right,0.7083906477757864,0.19180462821839228
CHE1998M,2019-05-22-16-56-09,0,28,0.6362110500227461,right,heavy poles sphere,stripes-8,right,right,0.8141693430684427,0.1998454959167475
CHE1998M,2019-05-22-16-56-09,0,29,0.5397215612915169,left,stripes-8,heavy poles sphere,right,right,0.879417462382321,0.1847247460618746
CHE1998M,2019-05-22-16-56-09,0,30,0.558527858717451,left,heavy poles sphere,stripes-4,right,right,0.9259531095035527,0.20795571629344067
CHE1998M,2019-05-22-16-56-09,0,31,0.6148339191227926,left,stripes-8,stripes-2,right,right,0.8703179555949418,0.20784251281861543
CHE1998M,2019-05-22-16-56-09,0,32,0.6906977066929889,left,stripes-8,stripes-8,right,right,0.7175091254750896,0.23968783208817968
CHE1998M,2019-05-22-16-56-09,0,33,0.6781793919877943,right,heavy poles sphere,stripes-4,right,right,0.7792252341741914,0.19184661302358563
CHE1998M,2019-05-22-16-56-09,0,34,0.507811769914293,left,stripes-2,heavy poles sphere,right,right,0.8785475994176295,0.19184163704665025
CHE1998M,2019-05-22-16-56-09,0,35,0.6845654188496193,right,stripes-4,heavy poles sphere,right,right,1.6796061763069474,0.1918183121548509
CHE1998M,2019-05-22-16-56-09,0,36,0.5646281682460377,right,stripes-8,stripes-4,right,right,0.683414975637902,0.20785184277531243
CHE1998M,2019-05-22-16-56-09,0,37,0.5347199849717857,right,stripes-2,stripes-4,right,right,0.936719257559389,0.22383063764971212
CHE1998M,2019-05-22-16-56-09,0,38,0.5989768564964021,left,heavy poles sphere,heavy poles sphere,right,right,1.0593285727748025,0.1917946762645215
CHE1998M,2019-05-22-16-56-09,0,39,0.5728355603096886,left,stripes-8,heavy poles sphere,right,right,1.0735057530067706,0.19984425192251365
CHE1998M,2019-05-22-16-56-09,0,40,0.5194356249758081,right,stripes-8,stripes-2,right,right,0.8878427242975704,0.19183324008554337
CHE1998M,2019-05-22-16-56-09,0,41,0.6743180064832401,right,stripes-4,stripes-4,right,right,0.9276119758079631,0.1918497230091134
CHE1998M,2019-05-22-16-56-09,0,42,0.5340678691975588,right,stripes-4,stripes-8,right,right,0.9713794247708165,0.1839600006096589
CHE1998M,2019-05-22-16-56-09,0,43,0.5098967218578673,right,heavy poles sphere,stripes-8,right,right,0.8559886970683692,0.1996996375934259
CHE1998M,2019-05-22-16-56-09,0,44,0.5460418383296193,right,heavy poles sphere,stripes-2,right,right,0.6944420514834064,0.175833297309282
CHE1998M,2019-05-22-16-56-09,0,45,0.5226171784180579,right,stripes-2,stripes-2,right,right,0.7492642551630979,0.21570828832921052
CHE1998M,2019-05-22-16-56-09,0,46,0.5575292932876745,left,stripes-4,stripes-2,right,right,0.5823146316423617,0.2399646208041304
CHE1998M,2019-05-22-16-56-09,0,47,0.6150653352378911,right,stripes-2,stripes-8,right,right,0.7309688320356145,0.215960197160598
CHE1998M,2019-05-22-16-56-09,1,0,0.6171297210766364,right,stripes-8,stripes-8,right,right,0.6253997497706223,0.16768762309720842
CHE1998M,2019-05-22-16-56-09,1,1,0.5198937556799396,right,heavy poles sphere,stripes-4,right,right,0.5726742983640634,0.19987752876818377
CHE1998M,2019-05-22-16-56-09,1,2,0.5726848636348385,left,heavy poles sphere,heavy poles sphere,right,right,0.6241762814461254,0.1918634069456857
CHE1998M,2019-05-22-16-56-09,1,3,0.6077283009348042,right,heavy poles sphere,stripes-8,right,right,0.7276386594842279,0.21573721119511902
CHE1998M,2019-05-22-16-56-09,1,4,0.5352666533437861,left,stripes-4,stripes-4,right,left,1.5396213716965121,0.29569058629135725
CHE1998M,2019-05-22-16-56-09,1,5,0.622696595138782,left,heavy poles sphere,stripes-2,left,right,2.336620484417608,0.2558426521459296
CHE1998M,2019-05-22-16-56-09,1,6,0.671864742849948,right,stripes-2,stripes-4,right,left,1.483903181172991,0.2637000306954178
CHE1998M,2019-05-22-16-56-09,1,7,0.5981801887496931,left,stripes-2,heavy poles sphere,left,right,3.013626401787178,0.16782041948113147
CHE1998M,2019-05-22-16-56-09,1,8,0.644505833695777,right,stripes-4,heavy poles sphere,left,right,1.69907344199828,0.18380978830623462
CHE1998M,2019-05-22-16-56-09,1,9,0.5397817523923512,right,stripes-2,stripes-8,right,right,0.7123745392946148,0.23171040809552323
CHE1998M,2019-05-22-16-56-09,1,10,0.5448819857325118,left,stripes-8,heavy poles sphere,right,right,0.5170410104467464,0.2157014463609812
CHE1998M,2019-05-22-16-56-09,1,11,0.5496202999556161,left,stripes-8,stripes-4,left,left,0.6490847778957232,0.23181583660630167
CHE1998M,2019-05-22-16-56-09,1,12,0.6804286434708209,right,stripes-4,stripes-2,right,right,0.7056379995453881,0.21581651582710037
CHE1998M,2019-05-22-16-56-09,1,13,0.5122284715819335,left,stripes-4,stripes-8,left,left,0.6237296875178799,0.18372644069313537
CHE1998M,2019-05-22-16-56-09,1,14,0.5019404832225669,right,stripes-8,stripes-2,right,right,0.36240475280442297,0.215957709172244
CHE1998M,2019-05-22-16-56-09,1,15,0.6581467414818329,right,stripes-2,stripes-2,left,left,0.7998015207206208,0.47983905202659116
CHE1998M,2019-05-22-16-56-09,1,16,0.5084433605279738,right,heavy poles sphere,heavy poles sphere,right,right,0.409695504422416,0.20796815623566545
CHE1998M,2019-05-22-16-56-09,1,17,0.5294656708732833,left,stripes-8,heavy poles sphere,left,left,0.32474593750362146,0.20767799458167246
CHE1998M,2019-05-22-16-56-09,1,18,0.5894721862527411,right,stripes-2,stripes-4,right,left,0.6229714730354772,0.28787114956571713
CHE1998M,2019-05-22-16-56-09,1,19,0.669978680029651,left,stripes-4,heavy poles sphere,left,right,0.9680974569957925,0.23180464065831075
CHE1998M,2019-05-22-16-56-09,1,20,0.6091929569174722,left,stripes-2,stripes-8,right,left,2.862365411486735,0.1999667853540359
CHE1998M,2019-05-22-16-56-09,1,21,0.5899935358016026,left,stripes-8,stripes-8,left,left,0.5779345279618155,0.1999465704479917
CHE1998M,2019-05-22-16-56-09,1,22,0.5425176932233093,right,stripes-2,heavy poles sphere,right,right,1.2935064434236665,0.19970834555306283
CHE1998M,2019-05-22-16-56-09,1,23,0.5642114555791667,right,heavy poles sphere,stripes-2,left,right,0.8749058063119719,0.2398168964894012
CHE1998M,2019-05-22-16-56-09,1,24,0.6915168944187239,left,stripes-4,stripes-8,left,left,0.9052695284547099,0.15981313962674903
CHE1998M,2019-05-22-16-56-09,1,25,0.6236307754099261,right,stripes-4,stripes-2,left,left,0.948384191445939,0.1759710696703678
CHE1998M,2019-05-22-16-56-09,1,26,0.5624317401916767,left,stripes-2,stripes-2,left,left,1.8795813586220902,0.16771219198312792
CHE1998M,2019-05-22-16-56-09,1,27,0.6625531120441737,right,stripes-4,stripes-4,right,left,0.44113652556779925,0.2799217154431517
CHE1998M,2019-05-22-16-56-09,1,28,0.5785285336960242,right,heavy poles sphere,stripes-8,left,left,0.6692297094434707,0.1758454262530904
CHE1998M,2019-05-22-16-56-09,1,29,0.6385794566107013,right,stripes-8,stripes-4,left,left,1.1531848273757532,0.1598171826080943
CHE1998M,2019-05-22-16-56-09,1,30,0.5646102069792375,left,heavy poles sphere,stripes-4,left,right,0.6543726863649226,0.2396641961977366
CHE1998M,2019-05-22-16-56-09,1,31,0.615164381732097,left,stripes-8,stripes-2,left,right,0.8249386011098068,0.24771003987325457
CHE1998M,2019-05-22-16-56-09,1,32,0.5633489282052083,right,heavy poles sphere,heavy poles sphere,left,left,1.272644660201422,0.1679833827249695
CHE1998M,2019-05-22-16-56-09,1,33,0.5140838652538869,left,stripes-2,stripes-2,left,right,0.55305526537677,0.27973542730728695
CHE1998M,2019-05-22-16-56-09,1,34,0.6410150795987256,right,heavy poles sphere,stripes-8,right,right,0.43023011716240944,0.21584885967718037
CHE1998M,2019-05-22-16-56-09,1,35,0.5740314510210303,right,stripes-4,heavy poles sphere,right,right,0.4779233009139716,0.2156588395585004
CHE1998M,2019-05-22-16-56-09,1,36,0.618417825240407,right,stripes-2,heavy poles sphere,right,left,2.209848142514602,0.5358741500799624
CHE1998M,2019-05-22-16-56-09,1,37,0.5074877652847861,right,stripes-4,stripes-8,right,right,0.4050914817808007,0.23185968740290264
CHE1998M,2019-05-22-16-56-09,1,38,0.6319517193227759,left,stripes-8,heavy poles sphere,left,left,0.5465513525482493,0.17586315317066692
CHE1998M,2019-05-22-16-56-09,1,39,0.6774403220039587,left,stripes-8,stripes-8,left,left,0.529953048547668,2.3118945441212873
CHE1998M,2019-05-22-16-56-09,1,40,0.6150798036809828,left,heavy poles sphere,stripes-4,left,left,0.7743895176070055,0.3596881804064651
CHE1998M,2019-05-22-16-56-09,1,41,0.6757647985322779,left,stripes-2,stripes-4,left,left,0.5726463084938587,0.2718298439813225
CHE1998M,2019-05-22-16-56-09,1,42,0.5434265505839849,left,stripes-4,stripes-4,left,right,0.5720081394542831,0.28781299283559747
CHE1998M,2019-05-22-16-56-09,1,43,0.5148541488684137,right,stripes-4,stripes-2,right,right,0.4200271874938153,0.27983370285141973
CHE1998M,2019-05-22-16-56-09,1,44,0.5790325684007642,right,stripes-8,stripes-4,right,right,0.5121944089300996,0.27184166192660086
CHE1998M,2019-05-22-16-56-09,1,45,0.5347469437315293,right,stripes-8,stripes-2,right,right,0.4182815525919068,0.2798256168889566
CHE1998M,2019-05-22-16-56-09,1,46,0.6566869873454052,left,stripes-2,stripes-8,right,left,0.4189937392879983,0.34386426281366766
CHE1998M,2019-05-22-16-56-09,1,47,0.559021575916216,left,heavy poles sphere,stripes-2,left,right,0.542512414284829,0.3039594159322405
CHE1998M,2019-05-22-16-56-09,2,0,0.6476156792453037,right,stripes-2,stripes-4,right,right,0.48359093862154623,0.23994471689638885
CHE1998M,2019-05-22-16-56-09,2,1,0.5828208119886243,right,stripes-4,stripes-2,right,left,0.4463233595058682,0.3279750355238775
CHE1998M,2019-05-22-16-56-09,2,2,0.5854151941863284,right,stripes-2,stripes-8,right,right,0.4710349938686704,0.23184507047062652
CHE1998M,2019-05-22-16-56-09,2,3,0.5234288369427396,right,heavy poles sphere,stripes-4,right,right,0.6145536750855172,0.20783193886768458
CHE1998M,2019-05-22-16-56-09,2,4,0.6727864436568792,left,stripes-8,stripes-8,left,left,0.5298460650442394,0.1998125300697211
CHE1998M,2019-05-22-16-56-09,2,5,0.6484281401382005,left,stripes-4,stripes-8,left,right,0.36195224990342467,0.2558435851415197
CHE1998M,2019-05-22-16-56-09,2,6,0.5152681594864839,right,heavy poles sphere,heavy poles sphere,right,right,0.5421976837449165,0.2238424555948768
CHE1998M,2019-05-22-16-56-09,2,7,0.5479730170244093,left,stripes-8,stripes-4,left,left,0.489099034069568,0.1997369574203276
CHE1998M,2019-05-22-16-56-09,2,8,0.66940583302929,left,stripes-2,stripes-2,right,left,0.38571067368820877,0.23198035484324464
CHE1998M,2019-05-22-16-56-09,2,9,0.6109204776234463,right,stripes-8,stripes-2,right,right,0.4239230664209117,0.26395162852827525
CHE1998M,2019-05-22-16-56-09,2,10,0.5260119233409064,left,stripes-4,heavy poles sphere,right,right,0.6482466367838242,0.24770319790491158
CHE1998M,2019-05-22-16-56-09,2,11,0.5326343540980559,left,stripes-4,stripes-4,left,right,0.5661346207014049,0.24781173640144516
CHE1998M,2019-05-22-16-56-09,2,12,0.6210274051202986,left,heavy poles sphere,stripes-8,left,left,0.3169464046857229,0.21580625287469957
CHE1998M,2019-05-22-16-56-09,2,13,0.6367663564254679,right,heavy poles sphere,stripes-2,right,right,0.5265392173844248,0.6398471877489555
CHE1998M,2019-05-22-16-56-09,2,14,0.6810818009554361,left,stripes-8,heavy poles sphere,left,left,3.172673862965894,0.16793735493865825
CHE1998M,2019-05-22-16-56-09,2,15,0.6917891321170613,right,stripes-2,heavy poles sphere,right,left,1.8260370480140864,0.2717107315340854
CHE1998M,2019-05-22-16-56-09,2,16,0.5976231108653682,right,heavy poles sphere,stripes-8,right,right,0.8457052187734462,0.2396896980794736
CHE1998M,2019-05-22-16-56-09,2,17,0.610180898746487,right,stripes-2,heavy poles sphere,left,left,0.8500529786042534,0.9598547512339337
CHE1998M,2019-05-22-16-56-09,2,18,0.6743021596611534,right,heavy poles sphere,stripes-4,right,right,1.7978599567275069,0.24783070731314183
CHE1998M,2019-05-22-16-56-09,2,19,0.6717450823533939,right,stripes-8,stripes-2,right,right,0.47148998475790904,0.279970231218158
CHE1998M,2019-05-22-16-56-09,2,20,0.5660371751863187,left,stripes-2,stripes-4,right,right,0.45827783304912373,0.26382785110263285
CHE1998M,2019-05-22-16-56-09,2,21,0.6985230648209397,left,stripes-4,stripes-4,left,left,0.5282556184220084,0.23182081258323706
CHE1998M,2019-05-22-16-56-09,2,22,0.5868547603240406,right,heavy poles sphere,heavy poles sphere,left,right,3.0356469656337595,0.24779711946916905
CHE1998M,2019-05-22-16-56-09,2,23,0.6349805716026813,left,stripes-8,stripes-4,left,left,0.9002929295411377,0.19998917725001775
CHE1998M,2019-05-22-16-56-09,2,24,0.5311285951566638,right,stripes-8,heavy poles sphere,right,right,0.611644283582109,0.24770724088602947
CHE1998M,2019-05-22-16-56-09,2,25,0.5153889571566732,right,stripes-4,stripes-8,right,right,0.6355843305243525,0.26388880681975024
CHE1998M,2019-05-22-16-56-09,2,26,0.667188209262797,right,stripes-4,stripes-2,right,right,0.6281194321541079,0.23986136928306223
CHE1998M,2019-05-22-16-56-09,2,27,0.5577338404741563,left,heavy poles sphere,stripes-2,left,left,0.5395159431855063,0.21582242479962588
CHE1998M,2019-05-22-16-56-09,2,28,0.6357607685086301,left,stripes-2,stripes-2,left,right,0.9069828195065384,0.2716933156145842
CHE1998M,2019-05-22-16-56-09,2,29,0.545618880614035,right,stripes-2,stripes-8,right,right,0.30065474526259095,0.2958504395498949
CHE1998M,2019-05-22-16-56-09,2,30,0.5834633952775959,right,stripes-8,stripes-8,right,left,1.6047839664072399,0.26385148699296224
CHE1998M,2019-05-22-16-56-09,2,31,0.6557139427294572,left,stripes-4,heavy poles sphere,left,right,0.9112848625495644,0.22386049351121073
CHE1998M,2019-05-22-16-56-09,2,32,0.6570828127128974,right,heavy poles sphere,heavy poles sphere,right,right,0.5450887263334607,0.23184040549222118
CHE1998M,2019-05-22-16-56-09,2,33,0.5127175952381233,left,heavy poles sphere,stripes-8,left,left,1.0057584492865317,0.19182453212602013
CHE1998M,2019-05-22-16-56-09,2,34,0.5789498395190942,right,stripes-4,stripes-4,right,right,1.6368612906003364,0.21585134766564806
CHE1998M,2019-05-22-16-56-09,2,35,0.5870047924377676,left,stripes-2,heavy poles sphere,right,left,1.7547319207985765,0.2078250968993416
CHE1998M,2019-05-22-16-56-09,2,36,0.5228993723336715,right,stripes-4,heavy poles sphere,right,right,0.7905832124845347,0.22385396254139778
CHE1998M,2019-05-22-16-56-09,2,37,0.54350576488917,right,stripes-4,stripes-2,right,right,0.4311662228199111,0.2719452244459717
CHE1998M,2019-05-22-16-56-09,2,38,0.5231413436053391,right,stripes-2,stripes-2,right,right,1.1574299576825524,0.22382877165819082
CHE1998M,2019-05-22-16-56-09,2,39,0.5555224336813367,left,stripes-2,stripes-4,right,right,1.4622001468535473,0.199949058436232
CHE1998M,2019-05-22-16-56-09,2,40,0.5483478013752143,right,stripes-2,stripes-8,right,right,0.3156461197177123,0.27971334640983514
CHE1998M,2019-05-22-16-56-09,2,41,0.625419868021273,right,stripes-4,stripes-8,right,right,0.25791203654603123,0.26366488785856745
CHE1998M,2019-05-22-16-56-09,2,42,0.5707087670002229,left,heavy poles sphere,stripes-2,left,right,1.1028341609521704,0.2797292073362314
CHE1998M,2019-05-22-16-56-09,2,43,0.6732750035733414,right,heavy poles sphere,stripes-4,right,right,0.42025701542775096,0.295814363717227
CHE1998M,2019-05-22-16-56-09,2,44,0.6319221944467439,left,stripes-8,heavy poles sphere,left,left,0.43843394810483005,0.23173342198856517
CHE1998M,2019-05-22-16-56-09,2,45,0.6855377664683235,left,stripes-8,stripes-4,left,left,0.47116841224965356,0.19182857510713802
CHE1998M,2019-05-22-16-56-09,2,46,0.5381080552423257,left,stripes-8,stripes-8,left,left,0.39062973786872135,0.20786148373053948
CHE1998M,2019-05-22-16-56-09,2,47,0.5672816520474842,left,stripes-8,stripes-2,left,right,0.5516672788155574,0.3437193374859362
CHE1998M,2019-05-22-16-56-09,3,0,0.6099042769448914,right,heavy poles sphere,stripes-2,right,right,0.8801983797598041,0.2478739361129101
CHE1998M,2019-05-22-16-56-09,3,1,0.6695210193741148,left,stripes-8,heavy poles sphere,left,left,0.4486207058484979,0.19184692402222936
CHE1998M,2019-05-22-16-56-09,3,2,0.5015161807494982,right,stripes-2,stripes-2,right,right,0.8581815478958106,0.23196107293256318
CHE1998M,2019-05-22-16-56-09,3,3,0.5179517348636671,right,stripes-4,stripes-2,right,right,0.6087097011957212,0.2319408580262916
CHE1998M,2019-05-22-16-56-09,3,4,0.5998534764586395,left,stripes-4,stripes-8,left,left,0.4140190063658338,0.2159474462198432
CHE1998M,2019-05-22-16-56-09,3,5,0.6646400904118481,left,stripes-4,stripes-4,left,right,0.5768376360501861,0.34384280391327593
CHE1998M,2019-05-22-16-56-09,3,6,0.6856055768048289,right,heavy poles sphere,heavy poles sphere,right,right,0.36208038130916975,0.24783630528736467
CHE1998M,2019-05-22-16-56-09,3,7,0.5652710205954796,right,stripes-2,stripes-4,right,right,0.4742902157674962,0.21584232870736741
CHE1998M,2019-05-22-16-56-09,3,8,0.5901156693787607,left,stripes-4,heavy poles sphere,left,left,0.4238002219908594,0.3038328395196004
