Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
GKI1987W,2019-05-27-12-57-57,0,0,0.5022243863413003,right,heavy poles sphere,stripes-2,right,right,16.721715378974523,0.6559302836906227
GKI1987W,2019-05-27-12-57-57,0,1,0.6088613791276201,right,stripes-8,stripes-8,right,right,36.56742960604515,0.39183018995845487
GKI1987W,2019-05-27-12-57-57,0,2,0.6756107838775397,right,heavy poles sphere,stripes-8,right,left,5.538653155638258,0.4557086106060524
GKI1987W,2019-05-27-12-57-57,0,3,0.6722224179772279,right,stripes-2,stripes-8,left,right,2.2336654490404726,0.39186222184343933
GKI1987W,2019-05-27-12-57-57,0,4,0.636247161889257,right,stripes-8,stripes-4,right,left,2.7161166408441204,0.3999159085269639
GKI1987W,2019-05-27-12-57-57,0,5,0.6312168212333957,left,stripes-4,stripes-8,right,left,3.882833273105007,0.5917122628629841
GKI1987W,2019-05-27-12-57-57,0,6,0.6645844879056104,right,stripes-2,heavy poles sphere,right,left,1.6491662691189504,0.32783048353235245
GKI1987W,2019-05-27-12-57-57,0,7,0.6502939229899515,left,heavy poles sphere,stripes-4,right,left,1.4941157738064703,0.27995556586643033
GKI1987W,2019-05-27-12-57-57,0,8,0.6032803098873061,left,stripes-8,stripes-2,left,right,2.4279043123624433,0.3998642843237121
GKI1987W,2019-05-27-12-57-57,0,9,0.6628404591267065,left,stripes-4,stripes-4,left,right,2.061021052101296,0.31169232223692234
GKI1987W,2019-05-27-12-57-57,0,10,0.5559864931847291,left,stripes-2,stripes-4,right,left,2.1730611224345466,0.3676908991506025
GKI1987W,2019-05-27-12-57-57,0,11,0.5939491104858957,left,stripes-8,heavy poles sphere,left,right,2.581606980587594,0.2878295008065379
GKI1987W,2019-05-27-12-57-57,0,12,0.6068992475418646,right,stripes-2,stripes-2,left,right,1.2545639216482414,0.3599531774696061
GKI1987W,2019-05-27-12-57-57,0,13,0.6378346203751415,left,stripes-4,stripes-2,right,left,1.906481512004575,0.2878518920269926
GKI1987W,2019-05-27-12-57-57,0,14,0.5125610268440202,right,stripes-4,heavy poles sphere,left,left,2.1247197210054765,0.27989865484732945
GKI1987W,2019-05-27-12-57-57,0,15,0.508882133772389,right,heavy poles sphere,heavy poles sphere,left,left,1.8715117121635103,0.311953864133784
GKI1987W,2019-05-27-12-57-57,0,16,0.6494137339119047,right,heavy poles sphere,heavy poles sphere,right,left,2.341013314690599,0.31980665180981305
GKI1987W,2019-05-27-12-57-57,0,17,0.5341391600184666,left,stripes-8,stripes-8,left,left,1.7304190330351048,0.34369373039612583
GKI1987W,2019-05-27-12-57-57,0,18,0.6251099006870359,right,stripes-8,heavy poles sphere,left,left,1.4132212694205464,0.2878291898173302
GKI1987W,2019-05-27-12-57-57,0,19,0.5704375311818557,left,heavy poles sphere,stripes-4,left,left,0.8412549532799858,0.3198268661062684
GKI1987W,2019-05-27-12-57-57,0,20,0.6560586383322364,right,stripes-8,stripes-2,left,right,0.6462650510986805,0.27192551436064605
GKI1987W,2019-05-27-12-57-57,0,21,0.6174979741437575,right,stripes-8,stripes-4,left,left,3.303317383735248,0.2718250648567846
GKI1987W,2019-05-27-12-57-57,0,22,0.5057168561987461,left,stripes-4,stripes-2,left,left,1.0087083188982433,0.255849861889601
GKI1987W,2019-05-27-12-57-57,0,23,0.6045194000513828,left,stripes-2,heavy poles sphere,left,left,0.5649161915271179,0.22383663614186844
GKI1987W,2019-05-27-12-57-57,0,24,0.5998495172213011,right,stripes-2,stripes-2,right,right,2.739490276301467,0.3517931324881829
GKI1987W,2019-05-27-12-57-57,0,25,0.632823238508604,left,stripes-4,stripes-8,left,left,1.7389230320450224,0.3118391091279591
GKI1987W,2019-05-27-12-57-57,0,26,0.640457512360453,left,stripes-4,stripes-4,right,left,2.324602726877629,0.3357246327682333
GKI1987W,2019-05-27-12-57-57,0,27,0.5201175504494331,left,stripes-2,stripes-4,left,left,0.7384341570607376,0.25586665530522623
GKI1987W,2019-05-27-12-57-57,0,28,0.6909888405320066,right,heavy poles sphere,stripes-8,left,right,2.2302000966553805,0.2799620966391103
