Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
JRR1974M,2019-06-07-12-13-25,0,0,0.5664314865565647,left,stripes-4,heavy poles sphere,right,right,7.906489906976958,0.3838679570658883
JRR1974M,2019-06-07-12-13-25,0,1,0.6815971564796531,left,stripes-4,stripes-8,right,right,14.980679776540569,0.20791966509079884
JRR1974M,2019-06-07-12-13-25,0,2,0.6195505664993748,right,stripes-2,stripes-4,right,right,48.220374885046795,0.2078478242006554
JRR1974M,2019-06-07-12-13-25,0,3,0.5033759503095531,right,heavy poles sphere,stripes-2,right,right,4.825435033909855,3.5677703728791244
JRR1974M,2019-06-07-12-13-25,0,4,0.5048470433686637,left,stripes-4,stripes-4,right,right,12.532856633262213,0.5438190555006486
JRR1974M,2019-06-07-12-13-25,0,5,0.5009471471232572,right,stripes-8,stripes-8,right,right,31.458160767472123,3.135746627443382
JRR1974M,2019-06-07-12-13-25,0,6,0.5614256299101766,right,heavy poles sphere,stripes-8,right,right,0.7376081461970898,0.28782788291118777
JRR1974M,2019-06-07-12-13-25,0,7,0.6846055245446137,left,stripes-2,stripes-2,right,right,3.1312918702546995,0.38383810111156436
JRR1974M,2019-06-07-12-13-25,0,8,0.6737622529263694,left,stripes-8,stripes-4,right,right,5.671733781919102,0.5196714974222232
JRR1974M,2019-06-07-12-13-25,0,9,0.645160913500998,right,stripes-4,stripes-2,right,right,1.5525146022051786,0.25582416584484235
JRR1974M,2019-06-07-12-13-25,0,10,0.6669631402103413,right,stripes-2,heavy poles sphere,right,right,5.028197082886663,0.23194002436366645
JRR1974M,2019-06-07-12-13-25,0,11,0.5132746000226821,right,stripes-8,heavy poles sphere,right,right,48.25584282581633,6.887584556883212
JRR1974M,2019-06-07-12-13-25,0,12,0.5075583815524394,left,heavy poles sphere,heavy poles sphere,right,right,0.2768862976407718,0.19966573771102958
JRR1974M,2019-06-07-12-13-25,0,13,0.5675121881050859,left,stripes-2,stripes-8,left,left,0.625193014079855,0.18370959610808768
JRR1974M,2019-06-07-12-13-25,0,14,0.515939269536108,left,heavy poles sphere,stripes-4,right,right,1.123967209454122,0.18370182111993927
JRR1974M,2019-06-07-12-13-25,0,15,0.5665043997330537,right,stripes-8,stripes-2,left,left,1.5027353963175756,0.18381004895445585
JRR1974M,2019-06-07-12-13-25,0,16,0.5062515199573377,left,stripes-2,stripes-4,left,left,3.5646669086243037,0.19183383668610077
