Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
KSB1989M,2019-05-20-16-54-24,0,0,0.6809725734009975,right,stripes-2,stripes-4,right,right,16.226187347749374,0.471715657904042
KSB1989M,2019-05-20-16-54-24,0,1,0.5088601525308052,left,heavy poles sphere,heavy poles sphere,right,right,1.0933837183372361,0.311833872543275
KSB1989M,2019-05-20-16-54-24,0,2,0.6619346948875613,left,stripes-4,stripes-8,right,right,0.8728334287563939,0.279957095412783
KSB1989M,2019-05-20-16-54-24,0,3,0.5367800415489778,right,stripes-8,stripes-8,right,right,19.962286196235937,0.2157787247856504
KSB1989M,2019-05-20-16-54-24,0,4,0.5863506010822666,left,heavy poles sphere,stripes-8,right,right,1.0443982861800123,0.21584652124852255
KSB1989M,2019-05-20-16-54-24,0,5,0.5001658931293433,left,stripes-4,stripes-2,right,right,2.100038656423294,0.18385405474168692
KSB1989M,2019-05-20-16-54-24,0,6,0.5106432293693501,left,heavy poles sphere,stripes-2,right,right,1.331084957986377,0.15983420343968646
KSB1989M,2019-05-20-16-54-24,0,7,0.5644549237656157,left,stripes-4,stripes-4,left,left,0.8386043009702462,0.18369420436647488
KSB1989M,2019-05-20-16-54-24,0,8,0.5618346899751174,left,stripes-8,heavy poles sphere,left,left,0.5177513219532557,0.15978288960332065
KSB1989M,2019-05-20-16-54-24,0,9,0.5027000852541414,left,stripes-8,stripes-2,right,right,0.5412306675120817,0.20786675320573522
KSB1989M,2019-05-20-16-54-24,0,10,0.5681013256073579,left,stripes-2,stripes-8,right,right,0.9426270880455832,0.19181454122167452
KSB1989M,2019-05-20-16-54-24,0,11,0.5779234396482174,right,stripes-2,heavy poles sphere,right,right,0.7138684506053323,0.19971656102757152
KSB1989M,2019-05-20-16-54-24,0,12,0.5302271039111708,left,stripes-8,stripes-4,right,right,0.7504110549286906,0.16779935481417851
KSB1989M,2019-05-20-16-54-24,0,13,0.5032563171893136,left,stripes-2,stripes-2,left,left,0.8838531528622298,0.19967271102200357
KSB1989M,2019-05-20-16-54-24,0,14,0.5092292858627343,left,heavy poles sphere,stripes-4,right,right,0.955706829436167,0.1757215891616397
KSB1989M,2019-05-20-16-54-24,0,15,0.6141922661689846,left,stripes-4,heavy poles sphere,right,right,0.9735170845528955,0.18369047245118963
KSB1989M,2019-05-20-16-54-24,0,16,0.6535957885531405,right,stripes-8,heavy poles sphere,right,right,0.763718443156904,0.26383180008633644
KSB1989M,2019-05-20-16-54-24,0,17,0.5755814655761972,left,stripes-4,stripes-2,right,right,0.825539176248185,0.14384916593235175
KSB1989M,2019-05-20-16-54-24,0,18,0.6416016728126686,left,stripes-8,stripes-4,right,right,1.0547468875047343,0.15181836021520212
KSB1989M,2019-05-20-16-54-24,0,19,0.6386004714547562,right,stripes-4,heavy poles sphere,right,right,0.876402383823006,0.1679704009352463
KSB1989M,2019-05-20-16-54-24,0,20,0.6635007218419606,left,stripes-2,stripes-2,right,right,1.1741280612980063,0.13583207873602987
KSB1989M,2019-05-20-16-54-24,0,21,0.6989397399571659,right,heavy poles sphere,stripes-2,right,right,1.2689958379812651,0.19980612699646372
KSB1989M,2019-05-20-16-54-24,0,22,0.5358161986282278,left,heavy poles sphere,stripes-8,right,right,0.9719148488870815,0.15981678783464304
KSB1989M,2019-05-20-16-54-24,0,23,0.6883759533665527,left,stripes-4,stripes-8,right,right,0.9208809061835836,0.18391407638046076
KSB1989M,2019-05-20-16-54-24,0,24,0.6271767325054886,left,heavy poles sphere,heavy poles sphere,right,right,0.9080213477998313,0.15983793535519908
KSB1989M,2019-05-20-16-54-24,0,25,0.5655022418141948,left,stripes-8,stripes-2,right,right,0.8251774914501766,0.16782330127080058
KSB1989M,2019-05-20-16-54-24,0,26,0.6739398370999543,left,stripes-4,stripes-4,right,right,0.8130835977030983,0.17569888667640043
KSB1989M,2019-05-20-16-54-24,0,27,0.5450589400636691,left,stripes-2,heavy poles sphere,right,right,0.9902416632899076,0.17580617924340913
KSB1989M,2019-05-20-16-54-24,0,28,0.6815724770645909,left,stripes-2,stripes-8,right,right,0.9225086432713852,0.28786875600030726
KSB1989M,2019-05-20-16-54-24,0,29,0.6202794144879089,left,stripes-8,stripes-8,right,right,0.8956037103946528,0.18372405968943895
KSB1989M,2019-05-20-16-54-24,0,30,0.6693983832963859,left,stripes-2,stripes-4,right,right,1.2559484398573204,0.19992150537996167
KSB1989M,2019-05-20-16-54-24,0,31,0.6543107935044489,right,heavy poles sphere,stripes-4,right,right,0.7947129332947043,0.14383392727791033
KSB1989M,2019-05-20-16-54-24,0,32,0.5523152751242141,left,stripes-4,stripes-8,right,right,0.7974841914508488,0.19182511498183885
KSB1989M,2019-05-20-16-54-24,0,33,0.5874922511771727,right,heavy poles sphere,heavy poles sphere,right,right,0.8553780165925673,0.1677063679226194
KSB1989M,2019-05-20-16-54-24,0,34,0.5926443018179405,left,stripes-2,stripes-4,right,right,0.9237799824413742,0.31980804271302077
KSB1989M,2019-05-20-16-54-24,0,35,0.6139064202690343,right,heavy poles sphere,stripes-2,right,right,0.8807342045904534,0.2558523430363948
KSB1989M,2019-05-20-16-54-24,0,36,0.5546231188669979,right,heavy poles sphere,stripes-4,right,right,0.9165276269029619,0.23180356939042213
KSB1989M,2019-05-20-16-54-24,0,37,0.6381158057868332,right,stripes-4,stripes-2,right,right,0.7548946402544061,0.2638038107211287
KSB1989M,2019-05-20-16-54-24,0,38,0.5823893234138978,left,stripes-4,stripes-4,right,right,1.1927431661633818,0.2558542089941511
KSB1989M,2019-05-20-16-54-24,0,39,0.6162301340843475,left,stripes-4,heavy poles sphere,right,right,1.2530179533118826,0.19969105960581146
KSB1989M,2019-05-20-16-54-24,0,40,0.5427216935514405,right,stripes-8,stripes-2,right,right,0.9551647687285367,0.1997078532251635
KSB1989M,2019-05-20-16-54-24,0,41,0.6095249593236683,right,stripes-2,stripes-2,right,right,1.1707743133508757,0.3279000792099396
KSB1989M,2019-05-20-16-54-24,0,42,0.5506306033205428,left,stripes-8,heavy poles sphere,right,right,0.9515871058592893,0.231815387122424
KSB1989M,2019-05-20-16-54-24,0,43,0.5954205338379538,left,stripes-2,heavy poles sphere,right,right,1.1521190903954448,0.17570541752820645
KSB1989M,2019-05-20-16-54-24,0,44,0.5046461789161447,right,stripes-2,stripes-8,right,right,0.9489859608454481,0.19182542597491192
KSB1989M,2019-05-20-16-54-24,0,45,0.5899854627217663,right,stripes-8,stripes-8,right,right,1.029380436739757,0.21580951308760632
KSB1989M,2019-05-20-16-54-24,0,46,0.6728658532215573,left,stripes-8,stripes-4,right,right,1.1502749022158696,0.2959803850528715
KSB1989M,2019-05-20-16-54-24,0,47,0.5807665850324438,left,heavy poles sphere,stripes-8,right,right,1.1319207204339818,0.21571683718912027
KSB1989M,2019-05-20-16-54-24,1,0,0.6999071601384907,left,heavy poles sphere,stripes-2,right,right,0.5288718077738395,0.22380918467911215
KSB1989M,2019-05-20-16-54-24,1,1,0.670672849355271,left,stripes-4,stripes-8,right,right,0.4148792087842139,0.3518499570984659
KSB1989M,2019-05-20-16-54-24,1,2,0.5783809795030901,right,stripes-4,stripes-2,right,right,0.4323072535685242,0.29588055631666066
KSB1989M,2019-05-20-16-54-24,1,3,0.6506526083853418,left,heavy poles sphere,stripes-8,right,right,0.6577320466103629,0.23980292998885488
KSB1989M,2019-05-20-16-54-24,1,4,0.6247423333596822,right,stripes-8,stripes-2,right,right,0.45167900427532004,0.26381593944597626
KSB1989M,2019-05-20-16-54-24,1,5,0.6968198009568519,right,stripes-2,stripes-4,right,right,0.5623548634787312,0.343837223803348
KSB1989M,2019-05-20-16-54-24,1,6,0.5392294278504836,left,stripes-4,heavy poles sphere,right,right,0.5931419213206937,0.3357165759553027
KSB1989M,2019-05-20-16-54-24,1,7,0.579473376034317,right,heavy poles sphere,heavy poles sphere,right,right,0.43773998937035685,0.2479347735832107
KSB1989M,2019-05-20-16-54-24,1,8,0.5254462360317593,left,stripes-2,stripes-2,right,right,0.4045511329939018,0.3278686689220649
KSB1989M,2019-05-20-16-54-24,1,9,0.6262931918767245,right,stripes-4,stripes-4,right,right,0.4534106130076907,0.2558433242409137
KSB1989M,2019-05-20-16-54-24,1,10,0.566250300069767,left,stripes-8,stripes-8,right,right,0.44150642495878856,0.2397127420342713
KSB1989M,2019-05-20-16-54-24,1,11,0.5305227426482315,right,stripes-8,heavy poles sphere,right,right,0.681617859951757,0.2718149890515633
KSB1989M,2019-05-20-16-54-24,1,12,0.5574969883856593,right,heavy poles sphere,stripes-4,right,right,0.6377417309306566,0.24773169518834948
KSB1989M,2019-05-20-16-54-24,1,13,0.5818823627699614,left,stripes-2,stripes-8,right,right,0.5542780656362538,0.2637882610736142
KSB1989M,2019-05-20-16-54-24,1,14,0.660307818037421,right,stripes-8,stripes-4,right,right,0.6542112954502954,0.24795187819518105
KSB1989M,2019-05-20-16-54-24,1,15,0.6079354436405497,left,stripes-2,heavy poles sphere,right,right,0.49023933084276905,0.23978800232748654
KSB1989M,2019-05-20-16-54-24,1,16,0.5592927731406061,left,heavy poles sphere,stripes-2,right,right,0.6869943060301011,0.24781970619255844
KSB1989M,2019-05-20-16-54-24,1,17,0.6637087957815828,left,stripes-8,stripes-2,right,right,0.646200739106007,0.2558573189235176
KSB1989M,2019-05-20-16-54-24,1,18,0.6123160224762036,left,stripes-4,stripes-2,right,left,0.4647994857421054,0.27183644756496506
KSB1989M,2019-05-20-16-54-24,1,19,0.6326983469487094,right,heavy poles sphere,heavy poles sphere,right,right,0.3155844474915739,0.2158458992623764
KSB1989M,2019-05-20-16-54-24,1,20,0.5546003797873742,left,stripes-4,heavy poles sphere,right,right,0.3447226207251788,0.23970185728103388
KSB1989M,2019-05-20-16-54-24,1,21,0.6990917542316026,right,stripes-4,stripes-8,right,right,0.4767077166991385,0.21581822089001435
KSB1989M,2019-05-20-16-54-24,1,22,0.6177620597129931,left,heavy poles sphere,stripes-8,right,right,0.40884190269230203,0.22388724390907555
KSB1989M,2019-05-20-16-54-24,1,23,0.63637703908116,right,stripes-2,heavy poles sphere,right,right,0.6543453334109017,0.30382549314913376
KSB1989M,2019-05-20-16-54-24,1,24,0.6341187251290176,right,stripes-2,stripes-2,right,right,0.7735336915764037,0.2798470039094809
KSB1989M,2019-05-20-16-54-24,1,25,0.6941646733421363,left,heavy poles sphere,stripes-4,right,right,0.903288346130239,0.27180565926300915
KSB1989M,2019-05-20-16-54-24,1,26,0.6949773699359612,left,stripes-8,heavy poles sphere,right,right,0.5724067775315689,0.25582217672058505
KSB1989M,2019-05-20-16-54-24,1,27,0.6608387594675277,right,stripes-8,stripes-8,right,right,0.38357714662106446,0.28781060031906236
KSB1989M,2019-05-20-16-54-24,1,28,0.6038812682507689,left,stripes-4,stripes-4,right,left,0.5715944639523514,0.31979311505142505
KSB1989M,2019-05-20-16-54-24,1,29,0.6015368486228838,left,stripes-2,stripes-8,right,right,0.4470044692795909,0.279824301424469
KSB1989M,2019-05-20-16-54-24,1,30,0.5513421164893864,right,stripes-8,stripes-4,right,right,0.6831249317760921,0.27981901454427316
KSB1989M,2019-05-20-16-54-24,1,31,0.5228186529201037,left,stripes-2,stripes-4,right,right,0.7503864864856951,0.2878208630861536
KSB1989M,2019-05-20-16-54-24,1,32,0.6213268461860606,right,stripes-4,stripes-8,right,right,0.7068776401358718,0.27183427061436305
KSB1989M,2019-05-20-16-54-24,1,33,0.6961969995730287,right,stripes-4,stripes-4,right,right,0.654790675311915,0.2476869122037897
KSB1989M,2019-05-20-16-54-24,1,34,0.6221932088377545,right,stripes-2,stripes-4,right,right,0.8087486670065118,0.27968311062613793
KSB1989M,2019-05-20-16-54-24,1,35,0.6380675256049357,left,heavy poles sphere,stripes-8,right,right,0.44387152632521065,0.23176904917318097
KSB1989M,2019-05-20-16-54-24,1,36,0.6341112226668616,right,stripes-8,stripes-2,right,right,0.43852151464761846,0.2637882610736142
KSB1989M,2019-05-20-16-54-24,1,37,0.6914674926408166,right,stripes-8,stripes-4,right,right,0.41335814227750234,0.2878345467759118
KSB1989M,2019-05-20-16-54-24,1,38,0.5949054294010828,left,stripes-2,heavy poles sphere,right,right,0.5860236037428876,0.2717869996861282
KSB1989M,2019-05-20-16-54-24,1,39,0.6204630473293362,left,stripes-2,stripes-2,right,right,0.8059665240971299,0.31184133637407285
KSB1989M,2019-05-20-16-54-24,1,40,0.5432776390196827,left,stripes-4,stripes-2,right,right,0.7624598546979087,0.2959763421445132
KSB1989M,2019-05-20-16-54-24,1,41,0.5234955685281055,right,stripes-2,stripes-8,right,right,0.5943386221831588,0.2958463470922652
KSB1989M,2019-05-20-16-54-24,1,42,0.602625488375176,left,stripes-8,heavy poles sphere,right,right,0.48713842016218223,0.30372504242723153
KSB1989M,2019-05-20-16-54-24,1,43,0.5909336757385444,right,heavy poles sphere,stripes-4,right,right,0.5198346637093891,0.25585141005763035
KSB1989M,2019-05-20-16-54-24,1,44,0.5774177663647401,right,stripes-4,heavy poles sphere,right,right,0.6571346291580085,0.25584208026930355
KSB1989M,2019-05-20-16-54-24,1,45,0.6592275951815156,right,heavy poles sphere,heavy poles sphere,right,right,0.5078312689101949,0.2877981606011417
KSB1989M,2019-05-20-16-54-24,1,46,0.5130873260280433,left,stripes-8,stripes-8,right,right,1.3666557093486063,0.2797067460901417
KSB1989M,2019-05-20-16-54-24,1,47,0.6778708172860534,right,heavy poles sphere,stripes-2,right,right,0.736583064505794,0.28785351734563847
KSB1989M,2019-05-20-16-54-24,2,0,0.6772031959330891,left,stripes-4,heavy poles sphere,right,right,0.7394386017506349,0.2637080248930488
KSB1989M,2019-05-20-16-54-24,2,1,0.6140478278607325,right,stripes-4,stripes-4,right,right,0.441870597700472,0.3039138151464158
KSB1989M,2019-05-20-16-54-24,2,2,0.5438885561560609,left,stripes-8,heavy poles sphere,right,right,0.49482709880589937,0.2716921468370401
KSB1989M,2019-05-20-16-54-24,2,3,0.6173624125256951,left,stripes-8,stripes-4,right,right,0.4460288844029492,0.2478697760570867
KSB1989M,2019-05-20-16-54-24,2,4,0.6780157304856622,left,stripes-8,stripes-8,right,right,0.7741447927185163,0.24793197464646255
KSB1989M,2019-05-20-16-54-24,2,5,0.5765875163538908,left,heavy poles sphere,stripes-2,right,right,0.47797128104525655,0.2558010292002564
KSB1989M,2019-05-20-16-54-24,2,6,0.6669567955765979,left,stripes-4,stripes-2,right,right,0.6686656256697461,0.27183458160720875
KSB1989M,2019-05-20-16-54-24,2,7,0.5747017339966707,right,stripes-4,stripes-8,right,right,0.40728102908792607,0.26398543060258817
KSB1989M,2019-05-20-16-54-24,2,8,0.5113800957182201,left,stripes-2,stripes-8,right,right,0.8315298333980081,0.28784480954323044
KSB1989M,2019-05-20-16-54-24,2,9,0.5577925103824939,left,stripes-2,stripes-2,right,left,0.6513050663550075,0.31182640871247713
KSB1989M,2019-05-20-16-54-24,2,10,0.5892302710734768,right,heavy poles sphere,stripes-4,right,right,0.46852891316984824,0.3118497331836352
KSB1989M,2019-05-20-16-54-24,2,11,0.6297972747587504,right,stripes-2,heavy poles sphere,right,right,0.7247074878082458,0.30372721937783353
KSB1989M,2019-05-20-16-54-24,2,12,0.6436804463104524,left,heavy poles sphere,heavy poles sphere,right,right,0.7871007589160399,0.295990025834044
KSB1989M,2019-05-20-16-54-24,2,13,0.5287009990411751,left,stripes-2,stripes-4,right,left,0.8736124660899804,0.33579619014972195
KSB1989M,2019-05-20-16-54-24,2,14,0.5921983399651236,left,heavy poles sphere,stripes-8,right,right,0.6573576111013608,0.29581151588240573
KSB1989M,2019-05-20-16-54-24,2,15,0.5917049956321341,right,stripes-8,stripes-2,right,right,0.8107570594622757,0.28780189251642696
KSB1989M,2019-05-20-16-54-24,2,16,0.5881664147428864,right,heavy poles sphere,heavy poles sphere,right,right,0.9443848201854053,0.28783734571265995
KSB1989M,2019-05-20-16-54-24,2,17,0.6007379055557144,left,heavy poles sphere,stripes-8,right,right,0.7669148286724976,0.27167815215443625
KSB1989M,2019-05-20-16-54-24,2,18,0.6572968806355866,left,heavy poles sphere,stripes-2,right,right,0.8273040612259592,0.303795326833324
KSB1989M,2019-05-20-16-54-24,2,19,0.6724257730887798,left,stripes-4,heavy poles sphere,right,right,0.8511211451257168,0.2637036709918448
KSB1989M,2019-05-20-16-54-24,2,20,0.5059031690345644,right,stripes-4,stripes-2,right,right,0.7048434352655022,0.2878186861355516
KSB1989M,2019-05-20-16-54-24,2,21,0.6538312999476809,right,stripes-2,heavy poles sphere,right,right,0.4073718390288832,0.2718470213251294
KSB1989M,2019-05-20-16-54-24,2,22,0.6778893784242379,left,stripes-8,stripes-4,right,right,0.8001145698019627,0.279805330854515
KSB1989M,2019-05-20-16-54-24,2,23,0.5050465478021409,right,stripes-4,stripes-8,right,right,0.607346524202967,0.27980999574879206
KSB1989M,2019-05-20-16-54-24,2,24,0.5568386741528586,left,stripes-8,heavy poles sphere,right,right,0.7019508898595177,0.2638237142696198
KSB1989M,2019-05-20-16-54-24,2,25,0.6640634428086917,left,stripes-8,stripes-2,right,right,0.6118668066965256,0.30380745555839894
KSB1989M,2019-05-20-16-54-24,2,26,0.5906030268076161,right,stripes-2,stripes-2,right,right,0.3504986927412119,0.27181934295276733
KSB1989M,2019-05-20-16-54-24,2,27,0.6546046014396616,right,stripes-4,stripes-4,right,right,0.8106544317893167,0.2397015462879608
KSB1989M,2019-05-20-16-54-24,2,28,0.581673895898602,right,heavy poles sphere,stripes-4,right,right,1.0250591897327013,0.23996433532875017
KSB1989M,2019-05-20-16-54-24,2,29,0.6032276921911146,right,stripes-8,stripes-8,right,right,0.7567438043208767,0.3038152303820425
KSB1989M,2019-05-20-16-54-24,2,30,0.6739096577288056,left,stripes-2,stripes-4,right,right,0.5504904825272661,0.24794503635052934
KSB1989M,2019-05-20-16-54-24,2,31,0.5466669736920552,left,stripes-2,stripes-8,right,right,1.0079959396762206,0.3117483494827411
KSB1989M,2019-05-20-16-54-24,2,32,0.5369552879362213,left,stripes-2,stripes-2,right,left,0.8603467509167331,0.2956908506187119
KSB1989M,2019-05-20-16-54-24,2,33,0.6317128432582566,right,stripes-2,stripes-8,right,right,0.7392261935676743,0.24782841399519384
KSB1989M,2019-05-20-16-54-24,2,34,0.5690011951005065,right,stripes-2,stripes-4,right,right,0.5398060088191414,0.26395899620183627
KSB1989M,2019-05-20-16-54-24,2,35,0.5300099205906155,left,stripes-4,stripes-4,right,left,0.6613700421116846,0.2957228828920506
KSB1989M,2019-05-20-16-54-24,2,36,0.6102228120481743,right,stripes-8,heavy poles sphere,right,right,0.6625039223986278,0.2718264957904921
KSB1989M,2019-05-20-16-54-24,2,37,0.5005193666157787,left,stripes-8,stripes-2,right,right,0.9637854932364007,0.25586073984595714
KSB1989M,2019-05-20-16-54-24,2,38,0.529045590926223,left,stripes-4,heavy poles sphere,right,right,0.5264261592337789,0.27970705708276
KSB1989M,2019-05-20-16-54-24,2,39,0.6748392352338692,left,heavy poles sphere,stripes-2,right,right,0.8188702434795232,0.2479649398987931
KSB1989M,2019-05-20-16-54-24,2,40,0.5197077058608108,left,stripes-4,stripes-2,right,right,0.5142280828495132,0.2637431670964361
KSB1989M,2019-05-20-16-54-24,2,41,0.6430550681386001,right,stripes-8,stripes-4,right,right,0.5442413902383123,0.2796946173652941
KSB1989M,2019-05-20-16-54-24,2,42,0.6851305763369078,right,stripes-4,stripes-8,right,right,0.6027432065920948,0.27195493587805686
KSB1989M,2019-05-20-16-54-24,2,43,0.5932867520276222,right,heavy poles sphere,stripes-8,right,right,0.33605649124683623,0.2639872965601171
KSB1989M,2019-05-20-16-54-24,2,44,0.6852864826960817,left,stripes-2,heavy poles sphere,right,right,0.5008662708555676,0.2558193777840643
KSB1989M,2019-05-20-16-54-24,2,45,0.6436798287303704,right,heavy poles sphere,heavy poles sphere,right,right,0.5263496549687261,0.2637164217026111
