Participant,Session,Block,Trial,OnsetDelay,Bias,Shape1,Shape2,Response1,Response2,RT1,RT2
RHL2000W,2019-05-17-11-41-49,0,0,0.6472647372003296,left,stripes-2,stripes-8,right,left,26.843682649982384,0.4158000770025865
RHL2000W,2019-05-17-11-41-49,0,1,0.6330855958537102,left,stripes-4,stripes-4,right,left,5.536107228847413,0.4316813860955335
RHL2000W,2019-05-17-11-41-49,0,2,0.6156765529975843,right,stripes-4,stripes-2,right,left,0.7632255608655214,0.4158401954546207
RHL2000W,2019-05-17-11-41-49,0,3,0.6710409994114724,left,stripes-4,stripes-8,left,left,0.4555005507736496,0.36795991140343176
RHL2000W,2019-05-17-11-41-49,0,4,0.6962205277105886,left,heavy poles sphere,stripes-2,left,left,0.5143026946534519,0.33567979628514877
RHL2000W,2019-05-17-11-41-49,0,5,0.5528334472361194,right,stripes-8,heavy poles sphere,left,left,24.664434339155832,1.1598487067863061
RHL2000W,2019-05-17-11-41-49,0,6,0.5118844873999928,left,stripes-8,stripes-2,left,left,9.686234208413225,0.8479264980201151
RHL2000W,2019-05-17-11-41-49,0,7,0.6049119667504211,right,stripes-8,stripes-4,left,left,12.871399524425215,0.6157137445816261
RHL2000W,2019-05-17-11-41-49,0,8,0.6616485347104916,left,stripes-8,stripes-8,left,left,9.045449541250036,0.5839222037907348
RHL2000W,2019-05-17-11-41-49,0,9,0.6233796981285052,left,stripes-2,heavy poles sphere,left,left,34.818886336650394,0.8077623295821468
RHL2000W,2019-05-17-11-41-49,0,10,0.6796119533713644,right,heavy poles sphere,stripes-4,right,right,0.3159766603907883,0.40779629031794684
RHL2000W,2019-05-17-11-41-49,0,11,0.6851564746142337,right,stripes-2,stripes-2,right,right,0.3619197519001318,0.3598472762059828
RHL2000W,2019-05-17-11-41-49,0,12,0.6274768678112985,right,stripes-4,heavy poles sphere,right,right,0.48340308968045065,0.4878120764628875
RHL2000W,2019-05-17-11-41-49,0,13,0.698290935373604,left,heavy poles sphere,heavy poles sphere,left,left,0.3212054319760682,0.5998333684760837
RHL2000W,2019-05-17-11-41-49,0,14,0.6734571615240161,right,stripes-2,stripes-4,right,right,0.2957330138783618,0.49585069467138965
RHL2000W,2019-05-17-11-41-49,0,15,0.5315846345365394,left,heavy poles sphere,stripes-8,left,left,0.25865205733043695,0.43168698401905203
RHL2000W,2019-05-17-11-41-49,0,16,0.6498219918877037,left,stripes-8,stripes-4,left,left,0.5793630060597934,0.39169572921946383
RHL2000W,2019-05-17-11-41-49,0,17,0.6334481819057607,left,stripes-2,heavy poles sphere,left,left,0.6504395302968078,0.463993222780573
RHL2000W,2019-05-17-11-41-49,0,18,0.6793054036297825,left,stripes-4,stripes-2,left,left,0.35215697324019857,0.4798798188016917
RHL2000W,2019-05-17-11-41-49,0,19,0.5336917230377625,left,stripes-2,stripes-4,left,left,0.2961665419570636,0.5358043189849013
RHL2000W,2019-05-17-11-41-49,0,20,0.6745163244624033,right,heavy poles sphere,stripes-2,right,right,0.19551618764035084,0.4558174554449579
RHL2000W,2019-05-17-11-41-49,0,21,0.6524088040760607,right,stripes-4,stripes-4,right,right,0.39688562633591573,0.41583739649286144
RHL2000W,2019-05-17-11-41-49,0,22,0.5664332720205141,left,stripes-4,heavy poles sphere,left,left,0.24565212388324653,0.487845353008197
RHL2000W,2019-05-17-11-41-49,0,23,0.6375536067483477,left,heavy poles sphere,heavy poles sphere,left,left,0.3836751487647234,0.39193301897876154
RHL2000W,2019-05-17-11-41-49,0,24,0.6256016558613877,right,stripes-8,stripes-2,right,left,1.2937451290290483,0.39981893827280146
RHL2000W,2019-05-17-11-41-49,0,25,0.5520208020552211,left,stripes-8,heavy poles sphere,left,left,0.5550549560593936,0.38375942861375734
RHL2000W,2019-05-17-11-41-49,0,26,0.6839558411824846,left,heavy poles sphere,stripes-4,left,left,0.3215733399515557,0.3518086579974806
RHL2000W,2019-05-17-11-41-49,0,27,0.55851779801856,right,stripes-2,stripes-2,right,right,0.3750823361251605,0.38383282361110105
RHL2000W,2019-05-17-11-41-49,0,28,0.5471276826166566,right,heavy poles sphere,stripes-8,right,right,0.5944578068952069,0.41586320914029784
RHL2000W,2019-05-17-11-41-49,0,29,0.5059598723821739,right,stripes-8,stripes-8,right,right,0.012447293995137443,0.38383811053927275
RHL2000W,2019-05-17-11-41-49,0,30,0.6273228973540494,right,stripes-2,stripes-8,right,right,0.16213670253682722,0.4399249505049738
RHL2000W,2019-05-17-11-41-49,0,31,0.5801895686990943,left,stripes-4,stripes-8,left,left,0.28169217764798304,2.6477407091574605
RHL2000W,2019-05-17-11-41-49,0,32,0.5393271182350934,left,stripes-2,stripes-2,right,left,0.00326421141744504,0.3678370680813714
RHL2000W,2019-05-17-11-41-49,0,33,0.633297661398634,left,stripes-8,stripes-4,left,left,0.4176756923852736,0.3998099193959206
RHL2000W,2019-05-17-11-41-49,0,34,0.6481870398693974,right,stripes-4,heavy poles sphere,right,right,0.6215290541563263,0.5118657319380873
RHL2000W,2019-05-17-11-41-49,0,35,0.6583109708935367,right,heavy poles sphere,stripes-4,right,right,0.10144650344363981,0.43171404064969465
RHL2000W,2019-05-17-11-41-49,0,36,0.5706982906124325,left,stripes-8,stripes-8,left,left,0.5995292146299107,0.3838580142673891
RHL2000W,2019-05-17-11-41-49,0,37,0.5731836953950324,right,stripes-2,stripes-4,left,left,0.42341200903865683,0.4158268226369728
RHL2000W,2019-05-17-11-41-49,0,38,0.6671554082764107,right,heavy poles sphere,heavy poles sphere,right,right,0.5560971028257882,0.41581655977734044
RHL2000W,2019-05-17-11-41-49,0,39,0.5327453291531477,right,heavy poles sphere,stripes-2,right,left,0.40740319168708083,0.43187544744478146
RHL2000W,2019-05-17-11-41-49,0,40,0.6974255984932405,right,stripes-8,stripes-2,right,right,0.31197880999343397,0.47181663192850465
RHL2000W,2019-05-17-11-41-49,0,41,0.5391081922298986,left,stripes-4,stripes-2,left,left,0.2653499728503448,0.4238231454232846
RHL2000W,2019-05-17-11-41-49,0,42,0.6503649978863499,left,stripes-8,heavy poles sphere,left,left,0.5954166067999722,0.4158224686966605
