Participant,Prime,Probe,Nsame,Ntotal
ma2,Sphere,Sphere,,119
ma2,Sphere,Quadro,23,
ma2,Sphere,Dual,,120
ma2,Sphere,Single,31,115
ma2,Quadro,Sphere,25,120
ma2,Quadro,Quadro,26,120
ma2,Quadro,Dual,17,
ma2,Quadro,Single,40,119
ma2,Dual,Sphere,30,120
ma2,Dual,Quadro,,116
ma2,Dual,Dual,32,120
ma2,Dual,Single,58,120
ma2,Single,Sphere,41,120
ma2,Single,Quadro,36,120
ma2,Single,Dual,58,120
ma2,Single,Single,46,118
sp2,Sphere,Sphere,10,119
sp2,Sphere,Quadro,13,118
sp2,Sphere,Dual,12,
sp2,Sphere,Single,,115
sp2,Quadro,Sphere,13,120
sp2,Quadro,Quadro,13,120
sp2,Quadro,Dual,25,120
sp2,Quadro,Single,50,
sp2,Dual,Sphere,7,120
sp2,Dual,Quadro,9,120
sp2,Dual,Dual,,120
sp2,Dual,Single,59,120
sp2,Single,Sphere,25,120
sp2,Single,Quadro,31,120
sp2,Single,Dual,39,120
sp2,Single,Single,60,118
